Actual \ Predicted, AaronPressman, AlanCrosby, AlexanderSmith, BenjaminKangLim, BernardHickey, BradDorfman, DarrenSchuettler, DavidLawder, EdnaFernandes, EricAuchard, FumikoFujisaki, GrahamEarnshaw, HeatherScoffield, JanLopatka, JaneMacartney, JimGilchrist, JoWinterbottom, JoeOrtiz, JohnMastrini, JonathanBirt, KarlPenhaul, KeithWeir, KevinDrawbaugh, KevinMorrison, KirstinRidley, KouroshKarimkhany, LydiaZajc, LynneO'Donnell, LynnleyBrowning, MarcelMichelson, MarkBendeich, MartinWolk, MatthewBunce, MichaelConnor, MureDickie, NickLouth, PatriciaCommins, PeterHumphrey, PierreTran, RobinSidel, RogerFillion, SamuelPerry, SarahDavison, ScottHillis, SimonCowell, TanEeLyn, TheresePoletti, TimFarrand, ToddNissen, WilliamKazer
 AaronPressman,91,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
 AlanCrosby,0,86,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AlexanderSmith,2,1,67,0,0,0,1,0,2,0,1,0,0,0,0,0,4,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,1,0,0
 BenjaminKangLim,0,0,0,68,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,8,0,0,0,0,0,2
 BernardHickey,0,0,0,0,73,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
 BradDorfman,0,1,0,0,1,77,0,4,0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0
 DarrenSchuettler,0,1,0,0,0,0,88,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 DavidLawder,0,0,0,0,0,5,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,14,0
 EdnaFernandes,0,2,0,0,0,0,0,1,82,0,0,0,0,1,0,0,5,1,0,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 EricAuchard,1,0,1,0,0,2,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,2,0,12,0,0,0,0,2,3,0,0,0,0,11,0,0,0
 FumikoFujisaki,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 GrahamEarnshaw,1,1,0,6,0,0,0,0,0,0,0,83,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 HeatherScoffield,0,0,0,1,0,0,7,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 JanLopatka,0,14,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,21,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 JaneMacartney,1,0,0,23,0,0,0,0,0,0,0,1,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,2,0,0,0,0,2,5,0,0,0,0,0,5
 JimGilchrist,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
 JoWinterbottom,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 JoeOrtiz,1,0,14,0,1,0,2,0,3,0,0,0,1,0,0,0,2,68,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
 JohnMastrini,0,24,0,1,0,0,0,0,0,0,0,1,0,14,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 JonathanBirt,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,7,1,0,74,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0
 KarlPenhaul,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 KeithWeir,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,86,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0
 KevinDrawbaugh,0,0,0,1,1,8,2,2,0,1,0,1,0,0,0,0,0,0,0,7,0,0,66,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,1,0,1,0
 KevinMorrison,0,0,0,2,14,0,0,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,1,70,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 KirstinRidley,2,0,6,0,0,0,0,0,2,3,0,0,0,0,0,0,9,0,0,3,0,13,0,0,53,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0
 KouroshKarimkhany,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0
 LydiaZajc,1,0,0,0,0,3,7,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 LynneO'Donnell,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,83,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
 LynnleyBrowning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MarcelMichelson,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,76,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0
 MarkBendeich,0,2,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,10,0,0,0,1,1,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MartinWolk,0,0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,3,1,0,2,0,0,64,0,1,0,0,0,0,2,0,0,3,0,0,0,0,6,0,1,0
 MatthewBunce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MichaelConnor,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,86,0,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0
 MureDickie,0,0,0,15,0,1,0,0,0,0,2,6,0,0,9,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,3,0,0,38,0,0,0,0,0,0,1,1,11,0,0,0,0,0,8
 NickLouth,1,0,1,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,2,0,72,1,0,0,0,2,0,0,0,1,0,2,0,0,0
 PatriciaCommins,1,0,0,0,0,4,1,4,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3,1,1,2,2,0,1,0,3,65,0,0,1,0,0,0,0,0,0,0,3,0,0
 PeterHumphrey,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,74,0,0,0,0,1,2,0,9,0,0,0,0
 PierreTran,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,5,0,0,0,0,3,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,0
 RobinSidel,0,1,0,0,0,4,5,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,75,0,0,0,0,0,0,0,1,0,0
 RogerFillion,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0
 SamuelPerry,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,54,0,0,0,0,9,0,0,0
 SarahDavison,0,2,3,0,1,0,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,23,0,0,0,0,52,0,0,5,0,0,0,1
 ScottHillis,0,1,0,26,1,0,1,0,0,0,0,4,1,1,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,4,0,0,0,0,1,27,0,1,0,0,0,6
 SimonCowell,1,0,5,0,0,1,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,1,0,0
 TanEeLyn,0,0,0,1,1,0,0,0,0,0,1,2,0,0,2,3,0,0,0,0,0,0,0,2,1,0,0,4,2,0,0,0,0,0,9,0,0,44,0,0,0,0,5,0,0,23,0,0,0,0
 TheresePoletti,2,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,72,0,0,0
 TimFarrand,0,0,2,0,0,4,0,1,4,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,75,1,0
 ToddNissen,0,2,0,0,0,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0
 WilliamKazer,0,0,0,18,0,0,0,0,0,1,0,11,0,1,10,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,10,0,0,5,0,0,0,0,2,6,0,1,0,0,0,30
